itemid,title,price,stock_status,page,size,mass,ISBN,original_title,publish_date,publish_company,writer,artist,image_url
95204924,스타워즈 : 잘 자요 다스 베이더,8500,out of stock,64,165*165,96,9.78895E+12,원제 : Star Wars: Goodnight Darth Vader,10/30/16,시공사(만화),,,https://image.aladin.co.kr/product/9520/49/cover500/8952776895_1.jpg
95204854,스타워즈 : 다스 베이더와 친구들,8500,out of stock,64,165*165,160,9.78895E+12,원제 : Star Wars: Darth Vaver and Friends,10/30/16,시공사(만화),,,https://image.aladin.co.kr/product/9520/48/cover500/895277695x_1.jpg
95204503,스타워즈 다스 베이더 Vol.2 : 그림자와 비밀,12000,out of stock,132,167*257,251,9.78895E+12,원제 : Star Wars: Darth Vader Volume 2: Shadows and Secrets,10/25/16,시공사(만화),키에론 글렌,"에드가 델가도, 살바도르 라로카",https://image.aladin.co.kr/product/9520/45/cover500/8952774868_1.jpg
94962075,페이블즈 디럭스 에디션 10,31000,in stock,384,167*257,960,9.78895E+12,원제 : Fables The Deluxe Edition 10,10/25/16,시공사(만화),"빌 윌링험, 매튜 스터지스","마크 버킹험, 짐 펀, 토니 앳킨스, 러스 브론, 크레이그 해밀턴",https://image.aladin.co.kr/product/9496/20/cover500/8952776860_1.jpg
94953495,미즈 마블 2,12000,in stock,136,167*257,258,9.78895E+12,원제 : Ms. Marvel Volume 2: Generation Why,10/25/16,시공사(만화),G. 윌로우 윌슨,"애드리언 알포나, 제이콥 와이엇",https://image.aladin.co.kr/product/9495/34/cover500/8952776917_1.jpg
94875296,스타워즈 Vol.2 : 밀수꾼 위성의 결전,12000,out of stock,136,167*257,258,9.78895E+12,원제 : Star Wars VOL.2: Showdown on the Smuggler's Moon,10/25/16,시공사(만화),제이슨 아론,"시모네 비앙키, 스튜어트 이모넨",https://image.aladin.co.kr/product/9487/52/cover500/895277485x_1.jpg
94722245,닥터 스트레인지 : 서약,12000,out of stock,128,167*257,243,9.78895E+12,원제 : Doctor Strange: The Oath,10/25/16,시공사(만화),,마르코스 마틴,https://image.aladin.co.kr/product/9472/22/cover500/8952776887_1.jpg
92703258,미라클 맨 Book 3,27000,out of stock,328,167*257,820,9.78895E+12,원제 : Miracleman Book Two: The Red King Syndrome,9/25/16,시공사(만화),,"앨런 무어, (원작), 존 토틀벤",https://image.aladin.co.kr/product/9270/32/cover500/8952772555_1.jpg
92636560,블랙키스트 나이트 : 블랙 랜턴 라이즈,20000,in stock,256,167*257,486,9.78895E+12,원제 : Blackest Night: Rise of the Black Lanterns,9/25/16,시공사(만화),"데니스 오닐, 제프 존스, 그렉 러카, 제임스 로빈슨, 토니 베다드, J. T. 크룰, 댄 디디오, 피터 J. 토마시","빌 신케비츠, 데니스 코완, 라이언 수크, 돈 크레이머",https://image.aladin.co.kr/product/9263/65/cover500/8952776704_1.jpg
92636557,아이언 맨 : 병 속의 악마,14000,in stock,176,167*255,334,9.78895E+12,원제 : Iron Man: Demon in a Bottle,9/25/16,시공사(만화),"데이비드 미켈라이니, 밥 레이튼",존 로미타 주니어,https://image.aladin.co.kr/product/9263/65/cover500/8952776844_1.jpg
92636547,블랙키스트 나이트 : 블랙 랜턴 군단 Vol. 2,20000,in stock,240,167*257,456,9.78895E+12,원제 : Blackest Night: Black Lantern Corps Vol. 2,9/25/16,시공사(만화),"제프 존스, 그렉 러카, 제임스 로빈슨","니콜라 스콧, 스콧 콜린스, 에디 배로우즈",https://image.aladin.co.kr/product/9263/65/cover500/8952776690_1.jpg
92511137,페이블즈 디럭스 에디션 9,30000,in stock,368,167*257,920,9.78895E+12,원제 : Fables The Deluxe Edition 09,9/25/16,시공사(만화),빌 윌링험,"피터 그로스, 마크 버킹험, 스티브 리어로하, 마이클 올레드, 니코 앙리숑, 데이비드 한",https://image.aladin.co.kr/product/9251/11/cover500/8952776720_1.jpg
90188631,페이블즈 디럭스 에디션 8,20000,in stock,232,175*265,580,9.78895E+12,원제 : Fables The Deluxe Edition 08,8/25/16,시공사(만화),빌 윌링험,"마크 버킹험, 스티브 리어로하, 앤드류 페포이",https://image.aladin.co.kr/product/9018/86/cover500/8952776712_1.jpg
90048942,블랙키스트 나이트 : 블랙 랜턴 군단 Vol. 1,20000,in stock,256,167*257,486,9.78895E+12,원제 : Blackest Night: Black Lantern Corps Vol. 1,8/25/16,시공사(만화),"제임스 로빈슨, J. T. 크룰, 피터 J. 토마시","에드 베네스, 에디 배로우즈, 아르디안 시아프",https://image.aladin.co.kr/product/9004/89/cover500/8952776682_1.jpg
90048169,인저스티스 : 갓 어몽 어스 Vol. 2,19000,out of stock,232,167*257,441,9.78895E+12,원제 : Injustice: Gods Among Us Vol. 2,8/25/16,시공사(만화),톰 테일러,"마이크 S. 밀러, 톰 데레닉, 브루노 레돈도",https://image.aladin.co.kr/product/9004/81/cover500/8952776755_1.jpg
89943020,호크아이 Vol.2 : 소소한 사건들,12000,in stock,136,167*257,340,9.78895E+12,원제 : Hawkeye Vol.2: Little Hits,8/25/16,시공사(만화),맷 프랙션,"다비드 아하, 프란체스코 프란카빌라",https://image.aladin.co.kr/product/8994/30/cover500/8952776739_1.jpg
89942482,시크릿 어벤저스 2 : 용의 눈,14000,out of stock,168,167*257,319,9.78895E+12,원제 : Secret Avengers Vol. 2 Eyes of The Dragon,8/25/16,시공사(만화),에드 브루베이커,"마이크 디오다토, 윌 콘래드",https://image.aladin.co.kr/product/8994/24/cover500/8952776747_1.jpg
89942452,FF 에프에프 2,12000,in stock,144,167*257,274,9.78895E+12,원제 : FF Volume 2,8/25/16,시공사(만화),조나단 힉맨,"스티브 엡팅, 배리 킷슨, 그렉 토키니",https://image.aladin.co.kr/product/8994/24/cover500/895277325x_1.jpg
87825768,블랙키스트 나이트 : 군단 이야기,15000,in stock,176,167*257,334,9.78895E+12,원제 : Blackest Night: Tales of the Corps,7/25/16,시공사(만화),,,https://image.aladin.co.kr/product/8782/57/cover500/8952776453_1.jpg
87825453,시크릿 어벤저스 1 : 미션 투 마스,12000,out of stock,136,167*257,258,9.78895E+12,원제 : Secret Avengers Vol. 1 Missinon to Mars,7/25/16,시공사(만화),에드 브루베이커,마이크 디오다토,https://image.aladin.co.kr/product/8782/54/cover500/8952776518_1.jpg
87825214,(뉴 52) 저스티스 리그 2 : 악인의 여정,14000,in stock,168,165*260,319,9.78895E+12,원제 : (The New 52) Justice League Vol. 2: The Villain's Journey,7/25/16,시공사(만화),제프 존스,"진 하, 스콧 윌리엄스, 짐 리",https://image.aladin.co.kr/product/8782/52/cover500/8952775589_1.jpg
87629475,FF 에프에프 1,12000,in stock,136,167*257,258,9.78895E+12,원제 : FF Volume 1,7/25/16,시공사(만화),조나단 힉맨,"스티브 엡팅, 배리 킷슨",https://image.aladin.co.kr/product/8762/94/cover500/8952773241_1.jpg
87629319,플래시 : 리버스,14000,in stock,168,167*257,319,9.78895E+12,원제 : The Flash: Rebirth,7/25/16,시공사(만화),제프 존스,에단 반 스카이버,https://image.aladin.co.kr/product/8762/93/cover500/8952776496_1.jpg
87628752,미즈 마블 1,12000,in stock,120,167*257,228,9.78895E+12,원제 : MS. Marvel Volume 1: No Normal,7/25/16,시공사(만화),G. 윌로우 윌슨,애드리언 알포나,https://image.aladin.co.kr/product/8762/87/cover500/8952776526_1.jpg
86230102,어나일레이션 : 컨퀘스트 Book 2,26000,in stock,352,167*257,669,9.78895E+12,원제 : Annihilation: Conquest Book 2,6/25/16,시공사(만화),,,https://image.aladin.co.kr/product/8623/1/cover500/8952773845_1.jpg
